timestamp,chatbot
2024-11-17 18:58:47,1.0
2024-11-17 18:59:47,1.0
2024-11-17 19:00:47,1.0
2024-11-17 19:01:48,1.0
2024-11-17 19:02:48,1.0
2024-11-17 19:03:48,1.0
2024-11-17 19:04:48,1.0
2024-11-17 19:05:48,1.0
2024-11-17 19:06:49,1.0
2024-11-17 19:07:49,1.0
2024-11-17 19:08:49,1.0
2024-11-17 19:09:49,1.0
2024-11-17 19:10:49,1.0
2024-11-17 19:11:50,1.0
2024-11-17 19:12:50,1.0
2024-11-17 19:13:50,1.0
2024-11-17 19:14:50,1.0
2024-11-17 19:15:50,0.9836065573770493
2024-11-17 19:16:51,0.9833333333333334
2024-11-17 19:17:51,1.0
2024-11-17 19:18:51,1.0
2024-11-17 19:19:51,1.0
2024-11-17 19:20:51,1.0
2024-11-17 19:21:51,1.0
2024-11-17 19:22:52,1.0
2024-11-17 19:23:52,1.0
2024-11-17 19:24:52,1.0
2024-11-17 19:25:52,1.0
2024-11-17 19:26:52,1.0
2024-11-17 19:27:53,1.0
2024-11-17 19:28:53,1.0
2024-11-17 19:29:53,1.0
2024-11-17 19:30:53,1.0
2024-11-17 19:31:53,1.0
2024-11-17 19:32:54,1.0
2024-11-17 19:33:54,1.0
2024-11-17 19:34:54,1.0
2024-11-17 19:35:54,1.0
2024-11-17 19:36:54,1.0
2024-11-17 19:37:55,1.0
2024-11-17 19:38:55,1.0
2024-11-17 19:39:55,1.0
2024-11-17 19:40:55,1.0
2024-11-17 19:41:55,1.0
2024-11-17 19:42:56,1.0
2024-11-17 19:43:56,1.0
2024-11-17 19:44:56,1.0
2024-11-17 19:45:56,1.0
2024-11-17 19:46:56,1.0
2024-11-17 19:47:56,1.0
2024-11-17 19:48:57,1.0
2024-11-17 19:49:57,1.0
2024-11-17 19:50:57,1.0
2024-11-17 19:51:57,1.0
2024-11-17 19:52:57,0.984375
2024-11-17 19:53:57,1.0
2024-11-17 19:54:58,0.9838709677419355
2024-11-17 19:55:58,1.0
2024-11-17 19:56:58,0.984127336876348
2024-11-17 19:57:58,0.9833333333333334
2024-11-17 19:58:58,1.0
2024-11-17 19:59:59,1.0
2024-11-17 20:00:59,1.0
2024-11-17 20:01:59,1.0
2024-11-17 20:02:59,1.0
2024-11-17 20:03:59,1.0
2024-11-17 20:05:00,1.0
2024-11-17 20:06:00,1.0
2024-11-17 20:07:00,1.0
2024-11-17 20:08:00,1.0
2024-11-17 20:09:00,1.0
