timestamp,adservice&count,cartservice&count,checkoutservice&count,currencyservice&count,emailservice&count,frontend&count,paymentservice&count,productcatalogservice&count,recommendationservice&count,redis&count,shippingservice&count
2024-12-22 17:19:58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:20:58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:21:59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:24:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:25:01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:26:02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:27:02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:28:03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:29:04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:30:04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:31:05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:32:05,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:33:06,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:34:07,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:35:07,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:36:08,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:37:09,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:38:09,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:39:10,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:40:11,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:41:11,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:42:12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:43:13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:44:13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:45:14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:46:15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:47:15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:48:16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:49:17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:50:17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:51:18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-12-22 17:52:19,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:53:19,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:54:20,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:55:21,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2024-12-22 17:56:22,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
