timestamp,adservice&count,cartservice&count,checkoutservice&count,currencyservice&count,emailservice&count,frontend&count,paymentservice&count,productcatalogservice&count,recommendationservice&count,redis&count,shippingservice&count
2025-01-03 22:43:47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-03 22:44:47,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
2025-01-03 22:45:48,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2025-01-03 22:46:49,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2025-01-03 22:47:50,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2025-01-03 22:48:50,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
2025-01-03 22:49:51,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0
2025-01-03 22:50:52,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0
2025-01-03 22:51:53,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0
2025-01-03 22:52:53,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0
2025-01-03 22:53:54,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0
2025-01-03 22:54:55,1.0,1.0,1.0,4.0,1.0,9.0,1.0,5.0,2.0,2.0,1.0
2025-01-03 22:55:56,1.0,1.0,1.0,5.0,1.0,10.0,1.0,5.0,2.0,2.0,1.0
2025-01-03 22:56:57,1.0,1.0,1.0,5.0,1.0,10.0,1.0,5.0,2.0,2.0,1.0
2025-01-03 22:57:58,1.0,1.0,1.0,5.0,1.0,10.0,1.0,5.0,3.0,2.0,1.0
2025-01-03 22:58:59,1.0,1.0,1.0,5.0,1.0,10.0,1.0,5.0,3.0,2.0,1.0
2025-01-03 23:00:00,1.0,1.0,1.0,5.0,1.0,10.0,1.0,5.0,3.0,2.0,1.0
2025-01-03 23:01:01,1.0,1.0,1.0,5.0,1.0,10.0,1.0,6.0,3.0,2.0,1.0
2025-01-03 23:02:01,1.0,1.0,1.0,5.0,1.0,10.0,1.0,6.0,3.0,2.0,1.0
2025-01-03 23:03:02,1.0,1.0,1.0,5.0,1.0,10.0,1.0,6.0,3.0,2.0,1.0
